checked in,company name,drive time,driver status,entry count,event date,last updated,question_1,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,registered,signed waiver,survey complete,timestamp,vehicle
yes,,3:30 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,Not for me,,,,,,,,,,,yes,,,Honda Clarity
no,,2:30 PM,,2,,,,5,5,,,5-10 miles,Undesirable,Not for me,,,,7 (Extremely Important),6,5,3,6,3,No,no,,,Tesla Model X
yes,,2:30 PM,,2,,,,3,3,,,11-30 miles,Undesirable,No opinion,,,,6,7 (Extremely Important),6,4,4,4,Yes,no,,,Toyota Prius Prime
yes,,,,,,,,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Undesirable,No opinion,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,
no,,3:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,Over 75 miles,Very Desirable,For me,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,BMW i3
no,,3:30 PM,,2,,,,7 (Extremely Important),7 (Extremely Important),,,Over 75 miles,Very Desirable,For me,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,BMW i3
no,,9:00 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Honda Clarity
yes,,2:00 PM,,,,,NO,,,,,51-75 miles,Somewhat Desirable,No opinion,,,,,,,,,,,yes,,,Mercedes GLE
yes,,10:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,9:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,,yes,,,Mercedes GLE
yes,,9:00 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
yes,,2:30 PM,,,,,NO,6,6,,,5-10 miles,Very Desirable,For me,,,,3,4,1 (Not at all important),2,4,4,Yes,no,,,Chevy Bolt
no,,1:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Very Desirable,For me,,,,5,7 (Extremely Important),7 (Extremely Important),1 (Not at all important),5,1 (Not at all important),Yes,no,,,Chevy Bolt
no,,3:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Very Desirable,For me,,,,5,7 (Extremely Important),7 (Extremely Important),3,5,2,Yes,no,,,Chevy Bolt
yes,,2:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Very Desirable,For me,,,,4,5,3,3,3,4,Yes,no,,,Chevy Volt
yes,,9:30 AM,,,,,NO,7 (Extremely Important),6,,,11-30 miles,Very Desirable,For me,,,,4,5,5,7 (Extremely Important),5,2,Yes,yes,,,Chrysler Pacifica
yes,,9:30 AM,,,,,NO,,,,,31-50 miles,Desirable,For me,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,12:30 PM,,,,,NO,7 (Extremely Important),5,,,31-50 miles,Desirable,For me,,Prefer not to disclose,Prefer not to disclose,6,7 (Extremely Important),2,7 (Extremely Important),6,4,Yes,yes,,,Mercedes GLE
no,,12:00 PM,,2,,,,,,,,5-10 miles,Desirable,For me,,,,,,,,,,Yes,no,,,Mercedes GLE
no,,3:00 PM,,,,,NO,,,,,11-30 miles,Desirable,For me,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,2:30 PM,,,,,NO,,,,,51-75 miles,Desirable,For me,,,,,,,,,,,yes,,,Nissan LEAF
no,,10:30 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
no,,11:30 AM,,2,,,,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
no,,12:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
no,,3:30 PM,,,,,NO,5,5,,,Below 5 miles,Somewhat Desirable,No opinion,,,,2,3,7 (Extremely Important),5,5,5,Yes,yes,,,Mercedes GLE
yes,,3:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Nissan LEAF
yes,,3:00 PM,,2,,,,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,3:00 PM,,2,,,,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,2:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,9:30 AM,,,,,YES,,,,,51-75 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,2:30 PM,,,,,NO,6,6,,,31-50 miles,Somewhat Desirable,No opinion,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),5,5,5,Yes,yes,,,Mercedes GLE
yes,,12:30 PM,,,,,YES,,,,,51-75 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,4:00 PM,,,,,NO,6,6,,,31-50 miles,Somewhat Desirable,No opinion,,,,6,6,6,6,6,6,,yes,,,Mercedes GLE
no,,10:00 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
yes,,11:00 AM,,,,,YES,,,,,11-30 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,12:00 PM,,,,,YES,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,10:30 AM,,,,,YES,,,,,31-50 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,3:30 PM,,2,,,,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,10:00 AM,,,,,YES,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,11:00 AM,,,,,YES,,,,,51-75 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Nissan LEAF
yes,,10:30 AM,,,,,NO,6,3,,,11-30 miles,Somewhat Desirable,For me,,,,4,5,4,3,3,7 (Extremely Important),Yes,no,,,Nissan LEAF
no,,9:30 AM,,,,,YES,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Nissan LEAF
yes,,9:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,4:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,10:30 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,,yes,,,Tesla Model X
yes,,2:30 PM,,,,,YES,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,10:30 AM,,,,,YES,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model X
yes,,9:30 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,3:30 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,2:00 PM,,,,,NO,5,4,,,31-50 miles,Somewhat Desirable,For me,,,,7 (Extremely Important),6,3,3,3,3,Yes,yes,,,BMW i3
yes,,2:00 PM,,,,,NO,7 (Extremely Important),4,,,51-75 miles,Somewhat Desirable,For me,,,,6,5,1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),Yes,yes,,,BMW i3
yes,,10:30 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,BMW i3
yes,,3:00 PM,,,,,NO,5,5,,,11-30 miles,Somewhat Desirable,No opinion,,,,5,7 (Extremely Important),7 (Extremely Important),6,5,3,Yes,no,,,BMW i3
yes,,3:30 PM,,,,,NO,7 (Extremely Important),4,,,Over 75 miles,Somewhat Desirable,For me,,,,7 (Extremely Important),4,4,4,1 (Not at all important),4,Yes,yes,,,BMW i3
yes,,12:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,no,,,Tesla Model X
yes,,12:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,4:00 PM,,,,,YES,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,12:30 PM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,10:30 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,12:00 PM,,,,,NO,5,4,,,31-50 miles,Somewhat Desirable,No opinion,,,,6,6,6,5,4,3,Yes,yes,,,Tesla Model S
yes,,2:00 PM,,,,,NO,4,4,,,11-30 miles,Somewhat Desirable,For me,,,,5,4,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,Tesla Model S
yes,,11:30 AM,,,,,YES,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,3:00 PM,,,,,NO,4,3,,,11-30 miles,Somewhat Desirable,No opinion,,,,5,5,5,5,4,3,Yes,yes,,,Tesla Model S
no,,2:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,12:30 PM,,,,,YES,,,,,Below 5 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,3:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model X
yes,,3:00 PM,,2,,,,,,,,31-50 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Chevy Volt
no,,12:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Chevy Volt
no,,11:30 AM,,,,,NO,6,5,,,11-30 miles,Somewhat Desirable,For me,,,,4,5,4,3,2,7 (Extremely Important),Yes,no,,,Chevy Volt
yes,,2:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Honda Clarity
yes,,3:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Honda Clarity
yes,,9:30 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,,no,,,Honda Clarity
yes,,2:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Honda Clarity
yes,,2:00 PM,,,,,NO,6,6,,,11-30 miles,Somewhat Desirable,No opinion,,,,4,6,5,2,5,5,Yes,yes,,,Honda Clarity
yes,,3:30 PM,,,,,NO,7 (Extremely Important),5,,,31-50 miles,Somewhat Desirable,For me,,,,5,6,6,5,5,6,Yes,yes,,,Honda Clarity
yes,,2:30 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,31-50 miles,Somewhat Desirable,For me,,,,5,7 (Extremely Important),6,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,yes,,,Honda Clarity
yes,,4:00 PM,,2,,,,,,,,11-30 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Toyota Prius Prime
yes,,2:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Toyota Prius Prime
yes,,,,,,,,7 (Extremely Important),7 (Extremely Important),,,5-10 miles,Somewhat Desirable,No opinion,,,,4,7 (Extremely Important),6,3,5,7 (Extremely Important),Yes,yes,,,
yes,,10:00 AM,,,,,NO,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,,yes,,,BMW i3
yes,,10:30 AM,,,,,NO,,,,,5-10 miles,Undesirable,No opinion,,,,,,,,,,,yes,,,BMW i3
yes,,3:30 PM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,3:00 PM,,,,,NO,4,4,,,31-50 miles,Somewhat Desirable,No opinion,,,,5,4,4,4,4,4,,yes,,,Tesla Model X
yes,,2:30 PM,,,,,NO,5,4,,,31-50 miles,Somewhat Desirable,No opinion,,,,2,4,4,4,4,4,Yes,yes,,,Tesla Model X
no,,3:00 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model X
yes,,11:30 AM,,,,,NO,1 (Not at all important),1 (Not at all important),,,31-50 miles,Somewhat Desirable,No opinion,,,,1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),,yes,,,Toyota Prius Prime
yes,,12:00 PM,,,,,NO,6,5,,,51-75 miles,Undesirable,No opinion,,,,4,6,6,4,6,5,Yes,no,,,BMW i3
yes,,2:30 PM,,,,,NO,1 (Not at all important),1 (Not at all important),,,31-50 miles,Undesirable,No opinion,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),1 (Not at all important),1 (Not at all important),4,,no,,,BMW i3
yes,,3:00 PM,,,,,NO,7 (Extremely Important),6,,,5-10 miles,Undesirable,No opinion,,Prefer not to disclose,Prefer not to disclose,5,7 (Extremely Important),6,5,5,7 (Extremely Important),,yes,,,BMW i3
yes,,3:30 PM,,,,,NO,4,4,,,31-50 miles,Undesirable,No opinion,,,,4,4,3,5,4,4,Yes,no,,,BMW i3
no,,3:30 PM,,2,,,,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,BMW i3
no,,9:30 AM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
no,,2:30 PM,,,,,NO,3,3,,,Over 75 miles,Undesirable,No opinion,,,,4,5,6,3,2,3,No,no,,,Mercedes GLE
yes,,2:30 PM,,,,,NO,1 (Not at all important),1 (Not at all important),,,None,Undesirable,Not for me,,,,1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),,yes,,,Nissan LEAF
yes,,10:00 AM,,2,,,,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,4:00 PM,,,,,NO,,,,,11-30 miles,Undesirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,9:30 AM,,,,,NO,,,,,31-50 miles,Undesirable,Not for me,,,,,,,,,,No,yes,,,BMW X5
yes,,10:30 AM,,,,,NO,,,,,Below 5 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,BMW X5
yes,,3:00 PM,,,,,NO,,,,,5-10 miles,Undesirable,No opinion,,,,,,,,,,,no,,,BMW X5
yes,,10:00 AM,,,,,YES,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model X
yes,,3:30 PM,,,,,NO,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,No,yes,,,Tesla Model X
yes,,11:30 AM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,,yes,,,Tesla Model X
yes,,12:30 PM,,,,,NO,,,,,51-75 miles,Undesirable,No opinion,,,,,,,,,,No,yes,,,Tesla Model X
yes,,9:00 AM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,10:00 AM,,,,,NO,,,,,51-75 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,9:30 AM,,,,,YES,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,12:00 PM,,2,,,,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,12:30 PM,,,,,NO,,,,,51-75 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
yes,,12:30 PM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
no,,2:00 PM,,,,,NO,,,,,51-75 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,no,,,Tesla Model S
no,,10:30 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,,yes,,,Tesla Model S
no,,9:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model S
no,,2:30 PM,,,,,NO,,,,,5-10 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,9:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,2:00 PM,,,,,NO,,,,,Over 75 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,9:30 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,11:30 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,10:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,No,no,,,Tesla Model X
yes,,4:00 PM,,,,,NO,,,,,5-10 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
no,,9:00 AM,,,,,YES,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,No,no,,,Honda Clarity
yes,,9:00 AM,,,,,NO,,,,,31-50 miles,Undesirable,Not for me,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,11:00 AM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
no,,10:00 AM,,,,,NO,,,,,Over 75 miles,Undesirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
no,,10:30 AM,,,,,NO,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
yes,,4:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Very Desirable,For me,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,Mercedes GLE
yes,,4:00 PM,,2,,,,6,6,,,31-50 miles,Very Desirable,For me,,,,5,5,5,6,6,5,Yes,no,,,Mercedes GLE
no,,3:30 PM,,2,,,,6,6,,,11-30 miles,Very Desirable,For me,,,,4,5,6,6,6,6,Yes,yes,,,Mercedes GLE
yes,,4:00 PM,,,,,NO,,,,,31-50 miles,Very Desirable,For me,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,11:30 AM,,,,,NO,,,,,11-30 miles,Very Desirable,For me,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,4:00 PM,,,,,NO,,,,,11-30 miles,Very Desirable,For me,,,,,,,,,,Yes,yes,,,BMW X5
yes,,2:30 PM,,,,,YES,6,6,,,11-30 miles,Very Desirable,For me,,,,4,5,6,6,6,6,Yes,yes,,,BMW X5
yes,,2:30 PM,,,,,YES,7 (Extremely Important),7 (Extremely Important),,,31-50 miles,Very Desirable,For me,,,,6,6,7 (Extremely Important),7 (Extremely Important),6,6,Yes,yes,,,BMW X5
yes,,3:30 PM,,,,,YES,6,6,,,31-50 miles,Very Desirable,For me,,,,5,5,5,6,6,5,Yes,no,,,BMW X5
yes,,10:30 AM,,,,,NO,,,,,31-50 miles,Very Desirable,For me,,,,,,,,,,Yes,yes,,,Honda Clarity
no,,11:00 AM,,,,,YES,,,,,11-30 miles,Very Desirable,For me,,,,,,,,,,Yes,no,,,Honda Clarity
yes,,3:30 PM,,2,,,,7 (Extremely Important),7 (Extremely Important),,,31-50 miles,Very Desirable,For me,,,,6,6,7 (Extremely Important),7 (Extremely Important),6,6,Yes,yes,,,Mercedes GLE
yes,,2:00 PM,,,,,NO,,,,,Below 5 miles,Very Desirable,For me,,,,,,,,,,Yes,no,,,Tesla Model X
yes,,11:00 AM,,,,,NO,,,,,11-30 miles,Very Desirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model X
no,,11:30 AM,,2,,,,,,,,11-30 miles,Very Desirable,For me,,,,,,,,,,Yes,no,,,Tesla Model X
yes,,2:30 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,None,Very Desirable,Not for me,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),No,no,,,Toyota Prius Prime
yes,,4:00 PM,,,,,NO,7 (Extremely Important),4,,,31-50 miles,Very Desirable,For me,,,,4,6,6,4,4,5,Yes,yes,,,Toyota Prius Prime
no,,2:30 PM,,,,,YES,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,No,no,,,Tesla Model X
yes,,2:30 PM,,,,,NO,6,6,,,5-10 miles,Undesirable,No opinion,,,,5,5,5,5,5,6,Yes,yes,,,Toyota Prius Prime
no,,2:00 PM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Toyota Prius Prime
no,,,,,,,,2,2,,,None,Undesirable,Not for me,,,,2,2,2,2,2,2,,yes,,,
yes,,2:30 PM,,,,,NO,6,6,,,11-30 miles,Very Desirable,For me,,,,6,6,6,6,6,6,Yes,no,,,BMW i3
yes,,10:30 AM,,,,,NO,,,,,51-75 miles,Undesirable,No opinion,,,,,,,,,,No,yes,,,Tesla Model S
yes,,9:30 AM,,,,,NO,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,,yes,,,Tesla Model S
yes,,3:30 PM,,,,,NO,,,,,31-50 miles,Undesirable,Not for me,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,9:30 AM,,,,,NO,,,,,51-75 miles,Undesirable,No opinion,,,,,,,,,,No,yes,,,Tesla Model S
yes,,2:30 PM,,,,,YES,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model S
no,,2:30 PM,,,,,YES,5,5,,,5-10 miles,Somewhat Desirable,No opinion,,,,4,5,5,7 (Extremely Important),3,3,Yes,no,,,Chevy Volt
no,,10:00 AM,,,,,NO,7 (Extremely Important),4,,,31-50 miles,Somewhat Desirable,No opinion,,,,4,7 (Extremely Important),6,6,4,4,Yes,no,,,Chevy Volt
no,,11:00 AM,,,,,NO,7 (Extremely Important),1 (Not at all important),,,Over 75 miles,Somewhat Desirable,For me,,,,1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),1 (Not at all important),Yes,yes,,,Chevy Volt
yes,,3:30 PM,,,,,NO,6,5,,,5-10 miles,Somewhat Desirable,For me,,,,3,6,5,6,3,1 (Not at all important),,yes,,,Honda Clarity
yes,,9:30 AM,,2,,,,7 (Extremely Important),4,,,11-30 miles,Somewhat Desirable,No opinion,,,,7 (Extremely Important),6,3,1 (Not at all important),1 (Not at all important),1 (Not at all important),Yes,yes,,,Honda Clarity
yes,,11:30 AM,,,,,NO,3,3,,,None,Undesirable,No opinion,,Prefer not to disclose,Prefer not to disclose,3,3,3,3,3,3,,yes,,,BMW X5
yes,,4:00 PM,,,,,NO,4,4,,,11-30 miles,Undesirable,No opinion,,,,4,4,4,4,4,4,Yes,yes,,,BMW X5
no,,9:30 AM,,2,,,,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,No,no,,,Chevy Volt
yes,,10:00 AM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Honda Clarity
no,,2:30 PM,,,,,NO,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Honda Clarity
yes,,9:30 AM,,,,,NO,6,6,,,51-75 miles,Somewhat Desirable,For me,,,,5,6,4,4,6,6,Yes,yes,,,BMW i3
no,,9:30 AM,,,,,YES,7 (Extremely Important),4,,,31-50 miles,Somewhat Desirable,No opinion,,,,4,5,4,3,4,3,Yes,no,,,BMW i3
no,,2:30 PM,,2,,,,7 (Extremely Important),6,,,11-30 miles,Somewhat Desirable,No opinion,,,,6,7 (Extremely Important),5,5,4,7 (Extremely Important),Yes,no,,,BMW i3
yes,,3:00 PM,,,,,NO,4,4,,,11-30 miles,Somewhat Desirable,No opinion,,,,5,5,5,1 (Not at all important),3,3,,no,,,Chevy Volt
yes,,10:00 AM,,,,,NO,5,5,,,11-30 miles,Somewhat Desirable,No opinion,,,,7 (Extremely Important),7 (Extremely Important),1 (Not at all important),3,7 (Extremely Important),5,Yes,no,,,Chevy Volt
yes,,3:30 PM,,,,,NO,,,,,11-30 miles,Undesirable,Not for me,,,,,,,,,,,yes,,,Tesla Model S
no,,3:00 PM,,2,,,,,,,,11-30 miles,Undesirable,No opinion,,,,,,,,,,No,no,,,Tesla Model S
no,,11:00 AM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,no,,,Tesla Model S
yes,,11:00 AM,,,,,NO,,,,,11-30 miles,Undesirable,For me,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,12:00 PM,,,,,NO,,,,,31-50 miles,Undesirable,No opinion,,,,,,,,,,Yes,yes,,,Tesla Model X
yes,,2:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Somewhat Desirable,No opinion,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),2,4,4,Yes,yes,,,Honda Clarity
yes,,2:30 PM,,2,,,,7 (Extremely Important),4,,,11-30 miles,Somewhat Desirable,No opinion,,,,6,7 (Extremely Important),5,7 (Extremely Important),4,4,Yes,no,,,Honda Clarity
yes,,11:30 AM,,,,,NO,6,4,,,11-30 miles,Somewhat Desirable,For me,,,,5,5,3,3,1 (Not at all important),2,No,yes,,,Honda Clarity
no,,2:00 PM,,,,,NO,5,4,,,31-50 miles,Somewhat Desirable,No opinion,,,,4,5,5,5,5,5,Yes,no,,,Honda Clarity
no,,9:00 AM,,,,,NO,7 (Extremely Important),5,,,11-30 miles,Somewhat Desirable,No opinion,,,,6,7 (Extremely Important),1 (Not at all important),4,6,6,Yes,no,,,Honda Clarity
yes,,10:00 AM,,2,,,,7 (Extremely Important),7 (Extremely Important),,,51-75 miles,Somewhat Desirable,No opinion,,,,7 (Extremely Important),7 (Extremely Important),5,3,7 (Extremely Important),7 (Extremely Important),Yes,yes,,,Mercedes GLE
yes,,10:30 AM,,,,,NO,1 (Not at all important),1 (Not at all important),,,31-50 miles,Somewhat Desirable,No opinion,,,,6,6,4,3,4,6,Yes,yes,,,Mercedes GLE
yes,,3:30 PM,,,,,NO,5,5,,,11-30 miles,Somewhat Desirable,No opinion,,,,4,4,5,4,4,3,,no,,,Mercedes GLE
yes,,10:30 AM,,,,,NO,6,5,,,11-30 miles,Desirable,For me,,,,7 (Extremely Important),7 (Extremely Important),6,6,5,5,Yes,yes,,,Tesla Model X
