checked in,company name,drive time,driver status,entry count,event date,last updated,question_1,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,registered,signed waiver,survey complete,timestamp,vehicle
yes,Cardinal Health - Tuesday,10:30 AM,Driver,,2018-06-12 00:00:00.000,2018-06-12 12:49:00.000,YES,Somewhat Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Important,Important,Important,Very Important,Somewhat Important,Very Important,yes,yes,yes,,BMW i3
yes,Cardinal Health - Wednesday,11:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 13:27:00.000,NO,Important,Important,Very Important,Important,20-Oct,,Very much,,Sedan,NO,Somewhat Important,Important,Important,Important,Important,Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Wednesday,4:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 13:33:00.000,NO,Somewhat Important,Important,Very Important,Important,0-10,,Very much,,SUV,NO,Very Important,Important,Important,Very Important,Important,Very Unimportant,yes,yes,yes,,Tesla Model S
yes,Cardinal Health - Wednesday,12:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 14:00:00.000,NO,Somewhat Important,Important,Very Important,Important,20-Oct,N/A,A little,Yes,Sedan,NO,Somewhat Important,Important,Important,Very Important,Somewhat Important,Somewhat Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Wednesday,12:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 14:00:00.000,NO,Somewhat Important,Important,Very Important,Very Important,40-50,,A little,,"SUV, Truck, Sports Car",NO,Very Important,Important,Important,Very Important,Important,Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Wednesday,11:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 14:52:00.000,YES,Unimportant,Somewhat Important,Very Important,Important,20-30,,A little,,SUV,NO,Important,Important,Important,Very Important,Important,Unimportant,yes,yes,no,,Tesla Model S
no,Cardinal Health - Tuesday,9:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 12:58:00.000,NO,Very Important,Important,Very Important,Very Important,30-40,,A little,,"SUV, Truck",NO,Somewhat Important,Very Important,Very Important,Very Important,Important,Important,yes,no,no,,BMW X5
no,Cardinal Health - Tuesday,11:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 16:15:00.000,YES,Very Important,Somewhat Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,no,no,,BMW X5
yes,Cardinal Health - Tuesday,12:00 PM,Driver,,2018-06-12 00:00:00.000,2018-06-07 14:30:00.000,NO,Very Important,Very Important,Very Important,Very Important,20-30,N/A,A little,No,SUV,NO,Important,Very Important,Important,Very Important,Somewhat Important,Important,yes,yes,yes,,Mercedes GLE
yes,Cardinal Health - Tuesday,12:30 PM,Driver,2,2018-06-12 00:00:00.000,2018-06-07 17:51:00.000,,Very Important,Somewhat Important,Important,Very Important,20-30,,Very much,,SUV,NO,Important,Important,Very Important,Very Important,Very Important,Very Important,yes,yes,no,,Mercedes GLE
no,Cardinal Health - Tuesday,11:30 AM,Driver,2,2018-06-12 00:00:00.000,2018-06-07 16:15:00.000,,Very Important,Somewhat Important,Very Important,Very Important,40-50,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,yes,no,no,,Mercedes GLE
no,Cardinal Health - Tuesday,4:00 PM,Driver,,2018-06-12 00:00:00.000,2018-06-07 13:10:00.000,NO,Somewhat Important,Important,Very Important,Very Important,20-Oct,,A little,,"Sedan, Van",NO,Important,Very Important,Important,Very Important,Important,Important,yes,no,no,,Tesla Model S
no,Cardinal Health - Tuesday,11:30 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 15:09:00.000,NO,Somewhat Important,Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Important,Very Important,Somewhat Important,Very Important,Very Important,yes,no,no,,Tesla Model S
yes,Cardinal Health - Tuesday,9:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-06 22:21:00.000,YES,Somewhat Important,Important,Very Important,Very Important,20-Oct,,Very much,,SUV,NO,Important,Important,Very Important,Very Important,Very Important,Somewhat Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Tuesday,11:30 AM,Driver,,2018-06-12 00:00:00.000,2018-06-06 22:25:00.000,NO,Very Important,Important,Important,Important,20-Oct,,Very much,,SUV,NO,Important,Important,Somewhat Important,Very Important,Important,Very Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Tuesday,12:30 PM,Driver,,2018-06-12 00:00:00.000,2018-06-06 22:41:00.000,NO,Very Important,Very Important,Very Important,Important,0-10,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Tuesday,10:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 04:07:00.000,YES,Important,Very Important,Very Important,Very Important,20-Oct,,Very much,,Sedan,NO,Very Important,Very Important,Very Important,Very Important,Important,Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Tuesday,11:30 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 11:25:00.000,NO,Unimportant,Very Important,Very Important,Very Important,30-40,,Very much,,Sedan,NO,Important,Somewhat Important,Important,Very Important,Somewhat Important,Important,yes,yes,no,,Tesla Model X
